tweet_id,client
415,0
1596,0
1113,0
465,0
1120,0
498,0
1495,0
559,0
246,0
283,0
557,0
579,0
1085,0
1669,0
1739,0
437,0
1267,0
349,0
1538,0
749,0
1002,0
51,0
290,0
803,0
898,0
920,0
99,0
569,0
532,0
547,0
26,0
1190,0
1650,0
793,0
878,0
514,0
1749,0
774,0
715,0
661,0
536,0
884,0
787,0
1243,0
1318,0
314,0
307,0
1317,0
1590,0
1448,0
1110,0
72,0
747,0
1706,0
433,0
315,0
380,0
376,0
545,0
1240,0
395,0
707,0
393,0
67,0
731,0
1662,0
880,0
345,0
365,0
663,0
1337,0
808,0
1232,0
797,0
870,0
1752,0
1056,0
794,0
34,0
1673,0
1582,0
1436,0
943,0
825,0
1500,0
940,0
918,0
1730,0
1216,0
669,0
1329,0
1199,0
638,0
646,0
1233,0
1281,0
48,0
1413,0
1162,0
711,0
1293,0
1262,0
83,0
333,0
125,0
74,0
588,0
1114,0
429,0
1176,0
515,0
1307,0
98,0
149,0
1768,0
92,0
1630,0
347,0
827,0
1747,0
126,0
142,0
1098,0
106,0
326,0
243,0
176,0
571,1
320,1
28,1
475,1
1286,1
677,1
615,1
1634,1
945,1
91,1
1645,1
454,1
920,1
1588,1
974,1
685,1
595,1
1605,1
1253,1
705,1
1213,1
213,1
972,1
1423,1
1195,1
1710,1
870,1
225,1
1132,1
1194,1
410,1
163,1
404,1
192,1
126,1
166,1
220,1
1082,1
158,1
205,1
351,1
1370,1
526,1
527,1
1576,1
1538,1
7,1
538,1
83,1
524,1
1011,1
773,1
492,1
898,1
10,1
1592,1
1302,1
292,1
413,1
755,1
810,1
1087,1
1315,1
1353,1
1410,1
1491,1
1539,1
514,1
504,1
500,1
1303,1
953,1
197,1
1018,1
567,1
299,1
1240,1
376,1
37,1
226,1
1216,1
440,1
87,1
214,1
718,1
908,1
128,1
98,1
1455,1
449,1
818,1
97,1
1165,1
1210,1
1716,1
131,1
1042,1
1307,1
1300,1
1304,1
1481,1
918,1
1107,1
341,1
563,1
640,1
862,1
1205,1
118,1
446,1
1756,1
1057,1
1306,1
1730,1
1098,1
129,1
1079,1
1144,1
1115,1
140,1
31,1
714,1
201,1
1074,1
1199,1
1392,1
1584,1
330,1
154,1
747,1
1611,1
1102,1
365,1
44,1
869,1
967,1
1807,1
1255,1
1517,1
645,1
781,1
1692,1
1053,1
19,1
76,1
840,1
790,1
590,1
608,1
895,1
965,1
1004,1
1150,1
1176,1
1499,1
787,1
353,1
204,1
411,1
1111,1
1180,1
1319,1
80,1
109,1
113,1
641,1
1290,1
1566,1
296,1
380,1
281,1
1243,1
272,1
707,1
8,1
1084,1
1436,1
366,1
20,1
1387,1
1503,1
1565,1
24,1
853,1
1720,1
30,1
1772,1
532,1
1257,1
864,1
1262,1
1291,1
40,1
733,1
537,1
1601,1
408,1
1197,1
1583,1
1573,1
1446,1
248,1
1378,1
584,1
612,2
579,2
1726,2
1176,2
80,2
429,2
1463,2
200,2
75,2
260,2
518,2
594,2
600,2
353,2
1802,2
1410,2
1720,2
994,2
794,2
788,2
1538,2
74,2
517,2
806,2
774,2
309,2
1622,2
1723,2
342,2
604,2
621,2
346,2
263,2
703,2
745,2
1085,2
277,2
1729,2
1078,2
858,2
1211,2
981,2
140,2
1721,2
314,2
307,2
449,2
390,2
206,2
1582,2
288,2
712,2
241,2
704,2
413,2
1457,2
1520,2
1495,2
642,2
1795,2
997,2
393,2
96,2
1523,2
861,2
99,2
126,2
789,2
936,2
1066,2
1069,2
290,2
129,2
293,2
803,2
1471,2
1615,2
557,2
972,2
1446,2
220,2
417,2
973,2
814,2
650,2
1419,2
1402,2
643,2
813,2
810,2
832,2
777,2
285,2
376,2
454,2
541,2
590,2
595,2
615,2
622,2
641,2
677,2
693,2
698,2
731,2
405,2
404,2
426,2
842,2
1401,2
1684,2
633,2
735,2
1009,2
1151,2
1696,2
424,2
91,2
933,2
154,2
974,2
1064,2
1084,2
1160,2
1186,2
1253,2
65,2
47,2
1259,2
225,2
1286,2
420,2
349,2
749,2
754,2
1518,2
1750,2
256,2
791,2
34,2
787,2
436,2
1590,2
1375,2
1628,2
878,2
76,2
1598,2
364,2
180,2
351,2
998,2
395,2
42,2
107,2
1061,2
1772,2
31,2
